机场,起飞/到达,航线名,机型,每周班期,参考准点率,航空公司/航班号,价格排序,出发时间
大连周水子国际机场;上海浦东国际机场,11:45;13:40,大连到上海,,1010101,,南方航空;CZ9171,-,,
海口美兰国际机场;上海浦东国际机场,11:45;14:50,海口到上海,,1110111,,吉祥航空;HO1272,-,,
大连周水子国际机场;上海浦东国际机场,11:45;13:40,大连到上海,,1010101,,吉祥航空;HO3634,-,,
大连周水子国际机场;上海浦东国际机场,11:45;13:40,大连到上海,,1010101,,厦门航空;MF3052,-,,
海口美兰国际机场;上海浦东国际机场,11:45;14:50,海口到上海,,1110111,,东方航空;MU4828,-,,
长春龙嘉国际机场;上海浦东国际机场,11:45;14:40,长春到上海,,1010101,,东方航空;MU545,-,,
大连周水子国际机场;上海浦东国际机场,11:45;13:40,大连到上海,,1010101,,东方航空;MU5624,-,,
宜昌三峡机场;上海浦东国际机场,11:50;13:40,宜昌到上海,,1111111,,南方航空;CZ9389,-,,
宜昌三峡机场;上海浦东国际机场,11:50;13:40,宜昌到上海,,1111111,,吉祥航空;HO3784,-,,
宜昌三峡机场;上海浦东国际机场,11:50;13:40,宜昌到上海,,1111111,,东方航空;MU2675,-,,
哈尔滨太平国际机场;上海浦东国际机场,11:55;15:00,哈尔滨到上海,,1111111,,上海航空;FM9172,-,,
长春龙嘉国际机场;上海浦东国际机场,11:55;14:50,长春到上海,,1111101,,吉祥航空;HO1186,-,,
北京南苑机场;上海浦东国际机场,11:55;14:05,北京到上海,,0111111,,中国联航;KN5977,-,,
长春龙嘉国际机场;上海浦东国际机场,11:55;14:50,长春到上海,,1111001,,东方航空;MU4664,-,,
营口兰旗机场;上海浦东国际机场,11:55;14:15,营口到上海,,1111111,,东方航空;MU5616,¥1070起;09-30周一,,
哈尔滨太平国际机场;上海浦东国际机场,11:55;15:00,哈尔滨到上海,,1111111,,东方航空;MU9172,-,,
长春龙嘉国际机场;上海浦东国际机场,11:55;14:50,长春到上海,,1111001,,深圳航空;ZH5210,-,,
昆明长水国际机场;上海浦东国际机场,12:05;15:15,昆明到上海,,1111111,,南方航空;CZ3678,-,,
绵阳南郊机场;上海浦东国际机场,12:05;14:40,绵阳到上海,,1111111,,上海航空;FM9412,-,,
